;N,Name,HBW,HBO,NHB
1,CIVTT,-0.04522803855217582,-0.048238709810613095,-0.04877444249572038
2,CSWAIT,0,0,0
3,CLWAIT,0,0,0
4,CXWAIT,0,0,0
5,CCOST,-0.0013357817108301858,-0.001771140265109636,-0.0023113005290549245
6,CDRIVE,0,0,0
7,CTERML,0,0,0
8,CWALK,0,0,0
9,CWALK1,-0.041650443262651424,-0.0738733381226553,-0.09814405334775467
10,CWALK2,-0.10483820529053932,-0.12724207332394907,-0.09575827699179218
11,CBIKE1,0,0,0
12,CBIKE2,0,0,0
13,DWalkBIKE,1,1,1
14,NC1,1,1,1
15,NC2,1,1,1
16,NC3,1,1,1
17,CBD,0,0,0
18,NXFER,0,0,0
19,AUTOCOST,19.41215004722886,11.712045882188725,12.698298484300494
20,SHAREFAC,0,0,0
