;N,Name,HBW,HBO,NHB
1,CIVTT,-0.03719406645924136,-0.01823253938779118,-0.038333692702325416
2,CSWAIT,0,0,0
3,CLWAIT,0,0,0
4,CXWAIT,0,0,0
5,CCOST,-0.0011456495281670965,-0.001226557051912326,-0.0018018463011405385
6,CDRIVE,0,0,0
7,CTERML,0,0,0
8,CWALK,0,0,0
9,CWALK1,-0.02097088340618218,-0.07688531579608229,-0.06917293828727214
10,CWALK2,-0.10540731721495152,-0.09917544424698763,-0.04948673320799861
11,CBIKE1,0,0,0
12,CBIKE2,0,0,0
13,DWalkBIKE,1,1,1
14,NC1,1,1,1
15,NC2,1,1,1
16,NC3,1,1,1
17,CBD,0,0,0
18,NXFER,0,0,0
19,AUTOCOST,13.764700207176325,24.180246217036814,14.92593249347998
20,SHAREFAC,0,0,0
